本文创新点总结：

1. 提出类特定自适应阈值机制（CAT）  
(类型: 新方法)  
- 通过全局估计（未标记数据的平均置信度）和局部调整（基于分类器权重的类特定学习状态评估）两阶段策略，动态调整每个类别的阈值  
- 相比现有动态阈值方法（如FreeMatch/FlexMatch），能更精准反映模型学习状态（见图b,c/f,g中的利用率和伪标签准确率优势）

2. 设计二元分类一致性（BCC）正则化策略  
(类型: 新方法)  
- 将类别空间划分为候选类和负类，强制不同扰动视图下保持一致的候选-负类划分  
- 动态确定top-k候选类参数k，利用低置信度伪标签的语义指导价值（实现100%未标记数据利用率）  
- 实验证明λ_b=1.0时达到最优平衡（图）

3. 系统验证框架的有效性  
(类型: 深入的实验分析)  
- 在CIFAR-10/100、SVHN、STL-10等基准测试中达到SOTA性能  
- 特别在极端少样本场景（如CIFAR-10仅10标签）展现显著优势  
- 通过t-SNE可视化证明特征可分性提升，混淆矩阵显示困难类别（如STL-10的3/5/7类）识别改进  

4. 解决实际挑战的扩展能力  
(类型: 方法应用扩展)  
- 与当前最优不平衡SSL方法ABC兼容，在CIFAR-LT数据集上表现优于其他组合方案  
- 通过网格搜索确定关键参数（如候选类上限K=10/20），提供可复现的实验配置  

关键创新逻辑：通过CAT机制优化学习状态评估精度 + BCC机制实现未标记数据全利用率，二者协同解决了伪标签质量与数量的核心权衡问题。
